Year,Value,UNIT_MEASURE,SERIES
2010,5.55,Тоне по глави становника,Нето емисије гасова стаклене баште
2011,6.35,Тоне по глави становника,Нето емисије гасова стаклене баште
2012,6.03,Тоне по глави становника,Нето емисије гасова стаклене баште
2013,6.03,Тоне по глави становника,Нето емисије гасова стаклене баште
2014,5.42,Тоне по глави становника,Нето емисије гасова стаклене баште
2015,5.25,Тоне по глави становника,Нето емисије гасова стаклене баште
2016,6.26,Тоне по глави становника,Нето емисије гасова стаклене баште
2017,6.46,Тоне по глави становника,Нето емисије гасова стаклене баште
2018,6.52,Тоне по глави становника,Нето емисије гасова стаклене баште
2019,6.22,Тоне по глави становника,Нето емисије гасова стаклене баште
2020,6.31,Тоне по глави становника,Нето емисије гасова стаклене баште
2021,6.55,Тоне по глави становника,Нето емисије гасова стаклене баште
2022,6.47,Тоне по глави становника,Нето емисије гасова стаклене баште
2023,6.24,Тоне по глави становника,Нето емисије гасова стаклене баште
2024,6.14,Тоне по глави становника,Нето емисије гасова стаклене баште
2010,21.15,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2011,23.75,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2012,22.14,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2013,21.8,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2014,19.31,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2015,18.46,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2016,21.73,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2017,22.15,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2018,22.08,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2019,20.81,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2020,20.83,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2021,21.27,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2022,20.74,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2023,19.88,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
2024,19.43,Милион тона еквивалента CO2,Нето емисије гасова стаклене баште
