Year,Series,Units,Age,Sex,Value
2022,Total,Percentage,All ages,Both sexes,12.4
2022,Total,Percentage,Less than 18 years,Both sexes,14.8
2022,Total,Percentage,18 to 64 years,Both sexes,11.2
2022,Total,Percentage,65 years or over,Both sexes,13.5
2023,Total,Percentage,All ages,Both sexes,11.9
2023,Total,Percentage,Less than 18 years,Both sexes,13.9
2023,Total,Percentage,18 to 64 years,Both sexes,10.8
2023,Total,Percentage,65 years or over,Both sexes,12.9
2024,Total,Percentage,All ages,Both sexes,12.1
2024,Total,Percentage,Less than 18 years,Both sexes,14.2
2024,Total,Percentage,18 to 64 years,Both sexes,11.0
2024,Total,Percentage,65 years or over,Both sexes,13.1
